Array X,Array Y,Experiment,Valid,alpha,mu,mu1,mu2,r2_double,r2_single,sigma,sigma1,sigma2,Value
0,0,2016-03-26 MM Adhesion Patient 605,true,0.962754802886849,0.0675298447506238,0.0679352345282532,32380.3236729953,0.934527121487617,0.929011265383082,0.849628686957836,0.678115793006907,12734.6510539629,0
0,1,2016-03-26 MM Adhesion Patient 605,true,1.19471585425998,0.0484926039463173,0.0712762101338685,1.83976879084295,0.911446424723821,0.899209940185908,2.46113251440341,4.5463640180034,2.83922790828064,1
0,2,2016-03-26 MM Adhesion Patient 605,true,1.52168281540253,0.0410834514621406,0.120740578951683,1.29297436181119,0.9776487803167,0.960587365659725,2.01036320695928,6.57501589909496,1.28364277129469,1
0,3,2016-03-26 MM Adhesion Patient 605,true,1.51679980859161,0.0717489242976391,0.156848629807438,0.912963926570938,0.882087458245969,0.876953494974694,1.78802340034702,3.64352155707723,1.97032019065261,1
1,1,2016-03-26 MM Adhesion Patient 605,true,1.071874793645,0.0254739483435741,0.0286219498968495,0.0913126123699509,0.946903981341141,0.946332909551898,2.66905605698191,2.64469008144118,2.66521976974044,1
1,2,2016-03-26 MM Adhesion Patient 605,true,1.15900335302542,0.0382426272339782,0.0482491766702256,0.364139357328178,0.9817200651639,0.9789537634497,1.90350802735457,2.74425214593313,1.95246080379702,1
1,3,2016-03-26 MM Adhesion Patient 605,true,0.717931764229472,0.131554020686625,0.134049763744405,46129.8328075214,0.82588788813431,0.77953516390769,2.14708246596933,0.426321825211129,19579.0747328975,1
2,1,2016-03-26 MM Adhesion Patient 605,true,229.882691470829,0.162486120685088,56.6911551496779,61.5945916382146,0.944958358247764,0.872947798816292,1.86545426719142,15.8930490173784,16.0542508914349,1
2,2,2016-03-26 MM Adhesion Patient 605,true,0.982442366485591,0.0366005830860199,0.036083703107143,1.09026938241004,0.975956094338142,0.972621608150141,1.33995930201849,1.14190585427698,1.56144657554457,0
2,3,2016-03-26 MM Adhesion Patient 605,true,0.95369556110901,0.102570995117355,0.101839113237805,3942.60374932744,0.914992090185841,0.913856765147429,1.62545815796545,1.32705592542766,1991.52749891361,1
